app-01-before: 0.9s
app-01-after: 0.8s
app-02-after: 0.4s
app-02-before: 0.5s
app-03-before: 0.4s
app-03-after: 0.4s
app-04-after: 0.4s
app-04-before: 0.4s
app-05-before: 0.4s
app-05-after: 0.4s
app-06-after: 0.4s
app-06-before: 0.4s
app-07-before: 0.5s
app-07-after: 0.5s
app-08-after: 0.4s
app-08-before: 0.4s
app-09-before: 0.5s
app-09-after: 0.4s
app-10-after: 0.5s
app-10-before: 0.4s
